"profile_label","time_set","grupos_etarios","indicator","mean_times","se_times"
"Profile_1","artesania",1,"Cantidad anual",4.02140519941777,0.34298228043886
"Profile_1","artesania",2,"Cantidad anual",4.3777458088054,0.261384955446066
"Profile_1","artesania",3,"Cantidad anual",3.89977298666148,0.187701734056434
"Profile_1","arte",1,"Cantidad anual",2.93564787704265,0.573148065014879
"Profile_1","arte",2,"Cantidad anual",1.59329404300687,0.556954495192883
"Profile_1","arte",3,"Cantidad anual",0.683244092657442,0.690636245393699
"Profile_1","cine",1,"Cantidad anual",4.72317275279848,0.471631974385729
"Profile_1","cine",2,"Cantidad anual",4.19454242248145,0.426642262007613
"Profile_1","cine",3,"Cantidad anual",2.9992002707394,0.56443637870631
"Profile_1","danza",1,"Cantidad anual",2.63097838729957,0.373699591959006
"Profile_1","danza",2,"Cantidad anual",2.65551754908753,0.385428012914138
"Profile_1","danza",3,"Cantidad anual",1.87025861588454,0.128414140905102
"Profile_1","musica",1,"Cantidad anual",2.56218622646927,0.21561318424676
"Profile_1","musica",2,"Cantidad anual",3.22544613531986,0.297581403324194
"Profile_1","musica",3,"Cantidad anual",2.49975715865774,0.245694515550204
"Profile_1","ppoo",1,"Cantidad anual",1.41838926697073,0.238758719100258
"Profile_1","ppoo",2,"Cantidad anual",1.45033586080256,0.137153750986413
"Profile_1","ppoo",3,"Cantidad anual",1.66108776614733,0.161019170611148
"Profile_1","religion",1,"Cantidad anual",3.62497548326423,0.67117521865247
"Profile_1","religion",2,"Cantidad anual",5.5378890530483,0.714100091663343
"Profile_1","religion",3,"Cantidad anual",9.85204055994569,2.11010906066406
"Profile_1","teatro",1,"Cantidad anual",1.57634279155511,0.155294729192167
"Profile_1","teatro",2,"Cantidad anual",2.40180755898576,0.315429738486548
"Profile_1","teatro",3,"Cantidad anual",2.391434337638,0.209145741965354
"Profile_2","artesania",1,"Cantidad anual",4.17925748437904,0.322704431312262
"Profile_2","artesania",2,"Cantidad anual",4.67393854585677,0.300574134016656
"Profile_2","artesania",3,"Cantidad anual",3.47019265359473,0.264437358639694
"Profile_2","arte",1,"Cantidad anual",0.862006789025387,2.02086183536261
"Profile_2","arte",2,"Cantidad anual",1.78223043571052,0.273333506316435
"Profile_2","arte",3,"Cantidad anual",1.82514667888758,0.189168037818001
"Profile_2","cine",1,"Cantidad anual",4.5559880912687,0.404539518358288
"Profile_2","cine",2,"Cantidad anual",3.70878073893829,0.374460190610989
"Profile_2","cine",3,"Cantidad anual",2.14583872822823,0.419366801084611
"Profile_2","danza",1,"Cantidad anual",2.55719062769789,0.332280806833018
"Profile_2","danza",2,"Cantidad anual",2.06258936864451,0.1104398528938
"Profile_2","danza",3,"Cantidad anual",1.75895925798696,0.186620258245118
"Profile_2","musica",1,"Cantidad anual",2.53610366971888,0.205894750228808
"Profile_2","musica",2,"Cantidad anual",3.02705535963863,0.302988054191618
"Profile_2","musica",3,"Cantidad anual",3.13713723128877,0.837562015576967
"Profile_2","ppoo",1,"Cantidad anual",1.46228360937856,0.14344392577744
"Profile_2","ppoo",2,"Cantidad anual",1.72388826554645,0.22553870313204
"Profile_2","ppoo",3,"Cantidad anual",1.53578398027233,0.392519776116097
"Profile_2","religion",1,"Cantidad anual",3.36467166674996,0.673552568420688
"Profile_2","religion",2,"Cantidad anual",6.03518485629019,0.755096629759028
"Profile_2","religion",3,"Cantidad anual",14.2595352381644,5.91667435949992
"Profile_2","teatro",1,"Cantidad anual",1.91851511391437,0.161492587055115
"Profile_2","teatro",2,"Cantidad anual",2.03809317202743,0.170817415822572
"Profile_2","teatro",3,"Cantidad anual",1.95971249144522,0.342224114274214
"Profile_3","artesania",1,"Cantidad anual",4.07925317505196,0.474928748254282
"Profile_3","artesania",2,"Cantidad anual",3.98422367653502,0.217802543556807
"Profile_3","artesania",3,"Cantidad anual",4.49458990357034,0.995471407575195
"Profile_3","arte",1,"Cantidad anual",2.61288846242618,1.56515559261477
"Profile_3","arte",2,"Cantidad anual",0.803807383811504,0.734839126414484
"Profile_3","arte",3,"Cantidad anual",1,4.43543063175394e-17
"Profile_3","cine",1,"Cantidad anual",3.78383275939013,0.31658799051598
"Profile_3","cine",2,"Cantidad anual",3.13890597551921,0.166348007651708
"Profile_3","cine",3,"Cantidad anual",2.61715982651715,0.945903473120437
"Profile_3","danza",1,"Cantidad anual",4.04969296741529,1.05978621346154
"Profile_3","danza",2,"Cantidad anual",2.84964164659082,0.313348193550429
"Profile_3","danza",3,"Cantidad anual",1.77162140560179,0.68543112702382
"Profile_3","musica",1,"Cantidad anual",4.52689849873764,2.31580198687323
"Profile_3","musica",2,"Cantidad anual",2.43440657861497,0.149558748056402
"Profile_3","musica",3,"Cantidad anual",2.33769133731839,0.579770295970226
"Profile_3","ppoo",1,"Cantidad anual",1.57876914277194,0.166406093674102
"Profile_3","ppoo",2,"Cantidad anual",1.5051394566983,0.0946205767485823
"Profile_3","ppoo",3,"Cantidad anual",3,0
"Profile_3","religion",1,"Cantidad anual",3.48845250738616,0.623226900369959
"Profile_3","religion",2,"Cantidad anual",7.76630024693479,1.61431946236742
"Profile_3","religion",3,"Cantidad anual",3.49106874047976,1.46941771688193
"Profile_3","teatro",1,"Cantidad anual",1.81887766893583,0.21560810226309
"Profile_3","teatro",2,"Cantidad anual",1.86551620746495,0.149753072454429
"Profile_3","teatro",3,"Cantidad anual",2.09772214538468,0.492673830292072
"Profile_4","artesania",3,"Cantidad anual",3.89977298666148,0.187701734056434
"Profile_4","arte",3,"Cantidad anual",0.683244092657442,0.690636245393699
"Profile_4","cine",3,"Cantidad anual",2.9992002707394,0.56443637870631
"Profile_4","danza",3,"Cantidad anual",1.87025861588454,0.128414140905102
"Profile_4","musica",3,"Cantidad anual",2.49975715865774,0.245694515550204
"Profile_4","ppoo",3,"Cantidad anual",1.66108776614733,0.161019170611148
"Profile_4","religion",3,"Cantidad anual",9.85204055994569,2.11010906066406
"Profile_4","teatro",3,"Cantidad anual",2.391434337638,0.209145741965354
"Profile_5","artesania",2,"Cantidad anual",4.57595513423629,0.320757854997174
"Profile_5","arte",2,"Cantidad anual",1.02378029607306,0.639341748411959
"Profile_5","cine",2,"Cantidad anual",4.29701738500346,0.238050132304546
"Profile_5","danza",2,"Cantidad anual",2.71467463418279,0.342229053480134
"Profile_5","musica",2,"Cantidad anual",3.653918672278,0.278606978328379
"Profile_5","ppoo",2,"Cantidad anual",1.53487132674252,0.127955065357323
"Profile_5","religion",2,"Cantidad anual",4.30459921968539,0.950476398947499
"Profile_5","teatro",2,"Cantidad anual",2.8956304159994,0.217395967154805
"Profile_6","artesania",1,"Cantidad anual",3.93402617389314,0.328121047636991
"Profile_6","artesania",2,"Cantidad anual",3.92834235673743,0.336566624635036
"Profile_6","artesania",3,"Cantidad anual",5,0
"Profile_6","arte",1,"Cantidad anual",-1.34796179261119,3.09402581922076
"Profile_6","arte",2,"Cantidad anual",1.47935235494853,0.428012940277454
"Profile_6","arte",3,"Cantidad anual",1,0
"Profile_6","cine",1,"Cantidad anual",3.98261085082405,0.319303642192689
"Profile_6","cine",2,"Cantidad anual",3.99428765313134,0.322952946280672
"Profile_6","cine",3,"Cantidad anual",1,0
"Profile_6","danza",1,"Cantidad anual",1.88609300167408,0.231342980856896
"Profile_6","danza",2,"Cantidad anual",2.73260740472269,0.430745562963267
"Profile_6","danza",3,"Cantidad anual",1,0
"Profile_6","musica",1,"Cantidad anual",2.57205839341414,0.238579292730795
"Profile_6","musica",2,"Cantidad anual",3.38056824992683,0.354132018992906
"Profile_6","musica",3,"Cantidad anual",0,0
"Profile_6","ppoo",1,"Cantidad anual",1.53620416175034,0.27623519479394
"Profile_6","ppoo",2,"Cantidad anual",1.31081082211066,0.101459048061811
"Profile_6","ppoo",3,"Cantidad anual",0,0
"Profile_6","religion",1,"Cantidad anual",3.80304501895223,1.28455728777349
"Profile_6","religion",2,"Cantidad anual",10.0023215284303,3.83811687954383
"Profile_6","religion",3,"Cantidad anual",1,0
"Profile_6","teatro",1,"Cantidad anual",2.85445522978485,0.476404326761033
"Profile_6","teatro",2,"Cantidad anual",2.2296791603914,0.238503687114202
"Profile_6","teatro",3,"Cantidad anual",0,0
