"profile_label","time_set","nivel_educ","indicator","mean_times","se_times"
"Profile_1","artesania",1,"Cantidad anual",3.81558649768312,0.273533630080628
"Profile_1","artesania",2,"Cantidad anual",3.86626221346051,0.23154328860824
"Profile_1","artesania",3,"Cantidad anual",4.44613129289473,0.232133758687768
"Profile_1","arte",1,"Cantidad anual",-0.85247846770996,2.08851098937297
"Profile_1","arte",2,"Cantidad anual",0.337346060269494,1.08629241556525
"Profile_1","arte",3,"Cantidad anual",2.30892540873554,0.229599082802936
"Profile_1","cine",1,"Cantidad anual",2.46717130396334,0.438652529558643
"Profile_1","cine",2,"Cantidad anual",3.1972649565136,0.247455660239951
"Profile_1","cine",3,"Cantidad anual",4.63209057078841,0.41376601714456
"Profile_1","danza",1,"Cantidad anual",2.50734232923718,0.341809269625773
"Profile_1","danza",2,"Cantidad anual",2.656486904376,0.460917694839264
"Profile_1","danza",3,"Cantidad anual",2.12829586259911,0.144151707088615
"Profile_1","musica",1,"Cantidad anual",2.33372616651961,0.343402978001968
"Profile_1","musica",2,"Cantidad anual",2.62400211025269,0.191677600431136
"Profile_1","musica",3,"Cantidad anual",2.93844011365232,0.217412648256146
"Profile_1","ppoo",1,"Cantidad anual",1.58142005739007,0.197266970463637
"Profile_1","ppoo",2,"Cantidad anual",1.62190183891879,0.215568809501082
"Profile_1","ppoo",3,"Cantidad anual",1.44882740533789,0.115468397725929
"Profile_1","religion",1,"Cantidad anual",13.2569579479515,5.22712843957153
"Profile_1","religion",2,"Cantidad anual",6.48601018853882,0.811493260811509
"Profile_1","religion",3,"Cantidad anual",6.01597192790939,0.708777906952344
"Profile_1","teatro",1,"Cantidad anual",2.11081306466114,0.38118218261549
"Profile_1","teatro",2,"Cantidad anual",1.6514822399715,0.107757926037225
"Profile_1","teatro",3,"Cantidad anual",2.47848586281211,0.252129013027757
"Profile_2","artesania",1,"Cantidad anual",3.56629952223884,0.367732005914391
"Profile_2","artesania",2,"Cantidad anual",4.41876167060801,0.32656148930129
"Profile_2","artesania",3,"Cantidad anual",4.49600582514501,0.314294116931036
"Profile_2","arte",1,"Cantidad anual",1.31755604821864,0.125954803075705
"Profile_2","arte",2,"Cantidad anual",0.387355580782675,1.92017850931653
"Profile_2","arte",3,"Cantidad anual",2.19067567062819,0.310928776355494
"Profile_2","cine",1,"Cantidad anual",2.61137907289246,0.406314536312848
"Profile_2","cine",2,"Cantidad anual",3.26134905184979,0.206386609226176
"Profile_2","cine",3,"Cantidad anual",4.56442850440223,0.409942345222601
"Profile_2","danza",1,"Cantidad anual",1.86945689754275,0.240163944798574
"Profile_2","danza",2,"Cantidad anual",2.21809308505312,0.198146588169221
"Profile_2","danza",3,"Cantidad anual",2.21508562757343,0.174190196687161
"Profile_2","musica",1,"Cantidad anual",2.39569685363632,0.385842077829068
"Profile_2","musica",2,"Cantidad anual",2.33266416793025,0.166562211622019
"Profile_2","musica",3,"Cantidad anual",3.20270896755514,0.29990833812313
"Profile_2","ppoo",1,"Cantidad anual",1.31780973749177,0.159685078446269
"Profile_2","ppoo",2,"Cantidad anual",1.82833605759918,0.335323520198689
"Profile_2","ppoo",3,"Cantidad anual",1.55600542883088,0.143596659215982
"Profile_2","religion",1,"Cantidad anual",14.3148552784438,7.79299342493778
"Profile_2","religion",2,"Cantidad anual",6.1033722711773,0.972629148601409
"Profile_2","religion",3,"Cantidad anual",5.98666275860444,0.911643373927211
"Profile_2","teatro",1,"Cantidad anual",1.3953037437539,0.14822071881865
"Profile_2","teatro",2,"Cantidad anual",1.71413536663224,0.15339422683901
"Profile_2","teatro",3,"Cantidad anual",2.10497518129123,0.147507936586897
"Profile_3","artesania",1,"Cantidad anual",4.57165800867234,0.882790462181859
"Profile_3","artesania",2,"Cantidad anual",4.0077522997671,0.376420171032334
"Profile_3","artesania",3,"Cantidad anual",3.98039045016193,0.245624366605246
"Profile_3","arte",1,"Cantidad anual",2.36265925801681,1.02286608042043
"Profile_3","arte",2,"Cantidad anual",1.50777373501022,1.65580264278399
"Profile_3","arte",3,"Cantidad anual",1.18697163868666,0.692215585271731
"Profile_3","cine",1,"Cantidad anual",3.67643747330864,0.820118146737947
"Profile_3","cine",2,"Cantidad anual",3.31601686949157,0.294229312777713
"Profile_3","cine",3,"Cantidad anual",3.35231752735429,0.167853098701118
"Profile_3","danza",1,"Cantidad anual",2.15649864121625,0.317541018723123
"Profile_3","danza",2,"Cantidad anual",2.43017624471922,0.192726989775517
"Profile_3","danza",3,"Cantidad anual",3.89829857980683,0.705997225454791
"Profile_3","musica",1,"Cantidad anual",2.20783138969498,0.410880649461596
"Profile_3","musica",2,"Cantidad anual",2.23886319884165,0.173082432480148
"Profile_3","musica",3,"Cantidad anual",3.63307230569432,1.18183242519574
"Profile_3","ppoo",1,"Cantidad anual",1.13572126177372,0.130717207300634
"Profile_3","ppoo",2,"Cantidad anual",1.48789326683545,0.125954051539411
"Profile_3","ppoo",3,"Cantidad anual",1.64019570498044,0.125123631580342
"Profile_3","religion",1,"Cantidad anual",5.21982469688991,1.9785514436193
"Profile_3","religion",2,"Cantidad anual",6.0631904330372,1.08317723224982
"Profile_3","religion",3,"Cantidad anual",6.77808840588796,1.89839587953805
"Profile_3","teatro",1,"Cantidad anual",1.79320543748711,0.315199631772261
"Profile_3","teatro",2,"Cantidad anual",1.81251639634313,0.192853521375052
"Profile_3","teatro",3,"Cantidad anual",1.88086716417293,0.16372655989587
"Profile_4","artesania",1,"Cantidad anual",3.75365644315701,0.310787402033002
"Profile_4","artesania",2,"Cantidad anual",3.55646479822554,0.201555244718665
"Profile_4","artesania",3,"Cantidad anual",4.50037939204813,0.43894604965561
"Profile_4","arte",1,"Cantidad anual",-1.39893569457147,2.71003263357269
"Profile_4","arte",2,"Cantidad anual",-0.82087494038836,1.79328223797853
"Profile_4","arte",3,"Cantidad anual",1.90710478052741,0.473775692127471
"Profile_4","cine",1,"Cantidad anual",2.16248907993248,0.403611654289497
"Profile_4","cine",2,"Cantidad anual",2.01164439211725,0.184766715281252
"Profile_4","cine",3,"Cantidad anual",3.98227304043797,1.12552983780008
"Profile_4","danza",1,"Cantidad anual",2.18881481940069,0.314128173555562
"Profile_4","danza",2,"Cantidad anual",1.72231576658924,0.221858922598675
"Profile_4","danza",3,"Cantidad anual",1.8575950331928,0.170900119846631
"Profile_4","musica",1,"Cantidad anual",2.46301060198658,0.511122870547396
"Profile_4","musica",2,"Cantidad anual",1.99716869583771,0.177875733663385
"Profile_4","musica",3,"Cantidad anual",2.9683255549645,0.492430965845031
"Profile_4","ppoo",1,"Cantidad anual",1.58240867885796,0.221569916465942
"Profile_4","ppoo",2,"Cantidad anual",1.45455199266669,0.218604744954062
"Profile_4","ppoo",3,"Cantidad anual",1.87567517689933,0.314555235809523
"Profile_4","religion",1,"Cantidad anual",15.1971178431758,6.48110846802905
"Profile_4","religion",2,"Cantidad anual",8.04648171277183,1.35547295116655
"Profile_4","religion",3,"Cantidad anual",7.18587118673802,1.25096191695308
"Profile_4","teatro",1,"Cantidad anual",2.20062305889795,0.476313036282196
"Profile_4","teatro",2,"Cantidad anual",1.70890118784583,0.130068766083494
"Profile_4","teatro",3,"Cantidad anual",2.8983950960694,0.332340975241824
"Profile_5","artesania",1,"Cantidad anual",3.3390286775356,0.866005872460031
"Profile_5","artesania",2,"Cantidad anual",3.22523934767582,0.235857433747721
"Profile_5","artesania",3,"Cantidad anual",5.23010920987389,0.452662391379414
"Profile_5","arte",1,"Cantidad anual",2.91671210998641,1.04947621568166
"Profile_5","arte",2,"Cantidad anual",-1.35968084290813,2.46187127510795
"Profile_5","arte",3,"Cantidad anual",1.4529042544708,0.692686573128028
"Profile_5","cine",1,"Cantidad anual",2.46203706428348,0.445719496466911
"Profile_5","cine",2,"Cantidad anual",3.62908941558123,0.484699584039795
"Profile_5","cine",3,"Cantidad anual",4.60125150458241,0.284245989767798
"Profile_5","danza",1,"Cantidad anual",1.36726958830297,0.184691168330169
"Profile_5","danza",2,"Cantidad anual",2.05309213280578,0.249299897119864
"Profile_5","danza",3,"Cantidad anual",2.97907349938704,0.449517020969885
"Profile_5","musica",1,"Cantidad anual",1.79857353572666,0.203875176439927
"Profile_5","musica",2,"Cantidad anual",2.66182000318916,0.253077554256665
"Profile_5","musica",3,"Cantidad anual",4.0356000791954,0.362377529234219
"Profile_5","ppoo",1,"Cantidad anual",1.73464789712971,0.251944348164365
"Profile_5","ppoo",2,"Cantidad anual",1.42153002825984,0.127429505824978
"Profile_5","ppoo",3,"Cantidad anual",1.5572825853379,0.175905561800821
"Profile_5","religion",1,"Cantidad anual",15.2401334870742,10.6537791230685
"Profile_5","religion",2,"Cantidad anual",3.89968155501367,0.713100011662641
"Profile_5","religion",3,"Cantidad anual",3.12443105869719,0.440706191043576
"Profile_5","teatro",1,"Cantidad anual",1.47879338507615,0.282237122510458
"Profile_5","teatro",2,"Cantidad anual",2.44255815153523,0.566810083179241
"Profile_5","teatro",3,"Cantidad anual",2.98702890708804,0.238056727987162
"Profile_6","artesania",1,"Cantidad anual",1.72192653770636,0.143810305581466
"Profile_6","artesania",2,"Cantidad anual",3.85425948523961,0.697920587639485
"Profile_6","artesania",3,"Cantidad anual",3.97171641776566,0.253925043118641
"Profile_6","arte",1,"Cantidad anual",0,0
"Profile_6","arte",2,"Cantidad anual",1.48189789933879,0.297802000428608
"Profile_6","arte",3,"Cantidad anual",0.479866136484377,1.14769548665372
"Profile_6","cine",1,"Cantidad anual",1.64464540997071,0.617815539739966
"Profile_6","cine",2,"Cantidad anual",3.13432890986347,0.411029194044868
"Profile_6","cine",3,"Cantidad anual",4.16218807849908,0.276268113554349
"Profile_6","danza",1,"Cantidad anual",2,0
"Profile_6","danza",2,"Cantidad anual",2.06073775043466,0.358862005399419
"Profile_6","danza",3,"Cantidad anual",2.49957281684813,0.342523822291219
"Profile_6","musica",1,"Cantidad anual",1,0
"Profile_6","musica",2,"Cantidad anual",2.61856847572105,0.326174664570786
"Profile_6","musica",3,"Cantidad anual",3.17228403523322,0.274384291797193
"Profile_6","ppoo",1,"Cantidad anual",0,0
"Profile_6","ppoo",2,"Cantidad anual",1.98920241144064,0.611732550131426
"Profile_6","ppoo",3,"Cantidad anual",1.33046148911165,0.0982372966934494
"Profile_6","religion",1,"Cantidad anual",5.50723253743804,4.44959249723596
"Profile_6","religion",2,"Cantidad anual",3.16874508101969,0.941534319266971
"Profile_6","religion",3,"Cantidad anual",9.64699788745818,3.60829939824862
"Profile_6","teatro",1,"Cantidad anual",0,0
"Profile_6","teatro",2,"Cantidad anual",1.80335408343006,0.329764257348339
"Profile_6","teatro",3,"Cantidad anual",2.41149219554832,0.226417356208108
